Test, Algo, NodesExp, Shortest , Pass,,,,,,
66, Greedy,15,15, passed,,,,,,
67, Greedy,15,15, passed,,,,,,
68, Greedy,15,15, passed,,,,,,
69, Greedy,15,15, passed,,,,,,
70, Greedy,15,15, passed,,,,,,
71, Greedy,15,15, passed,,,,,,
72, Greedy,15,15, passed,,,,,,
73, Greedy,15,15, passed,,,,,,
74, Greedy,15,15, passed,,,,,,
75, Greedy,15,15, passed,,,,,,
76, Greedy,15,15, passed,,,,,,
77, Greedy,15,15, passed,,,,,,
78, Greedy,15,15, passed,,,,,,
79, Greedy,15,15, passed,,,,,,
80, Greedy,15,15, passed,,,,,,
81, Greedy,15,15, passed,,,,,,
82, Greedy,13,13, passed,,,,,,
83, Greedy,13,13, passed,,,,,,
84, Greedy,13,13, passed,,,,,,
85, Greedy,13,13, passed,,,,,,
86, Greedy,13,13, passed,,,,,,
87, Greedy,13,13, passed,,,,,,
88, Greedy,13,13, passed,,,,,,
89, Greedy,13,13, passed,,,,,,
90, Greedy,13,13, passed,,,,,,
91, Greedy,13,13, passed,,,,,,
92, Greedy,13,13, passed,,,,,,
93, Greedy,13,13, passed,,,,,,
94, Greedy,13,13, passed,,,,,,
95, Greedy,13,13, passed,,,,,,
96, Greedy,13,13, passed,,,,,,
97, Greedy,13,13, passed,,,,,,
98, Greedy,13,13, passed,,,,,,
99, Greedy,13,13, passed,,,,,,
100, Greedy,13,13, passed,,,,,,
1, MBAstar,26,0, passed,,,,,,
2, MBAstar,26,0, passed,,,,,,
3, MBAstar,26,0, passed,,,,,,
4, MBAstar,26,0, passed,,,,,,
5, MBAstar,26,0, passed,,,,,,
6, MBAstar,26,0, passed,,,,,,
7, MBAstar,26,0, passed,,,,,,
8, MBAstar,26,0, passed,,,,,,
9, MBAstar,26,0, passed,,,,,,
10, MBAstar,26,0, passed,,,,,,
11, MBAstar,26,0, passed,,,,,,
12, MBAstar,26,0, passed,,,,,,
13, MBAstar,26,0, passed,,,,,,
14, MBAstar,26,0, passed,,,,,,
15, MBAstar,26,0, passed,,,,,,
16, MBAstar,26,0, passed,,,,,,
17, MBAstar,26,0, passed,,,,,,
18, MBAstar,26,0, passed,,,,,,
19, MBAstar,26,0, passed,,,,,,
20, MBAstar,26,0, passed,,,,,,
21, MBAstar,26,0, passed,,,,,,
22, MBAstar,25,0, passed,,,,,,
