Test, Algo, Pass, NodesExp, Shortest 
60, BFS, passed, 287, 28
60, DFS, passed, 28, 28
60, BI-DIR, passed, 7, 0
60, MBAstar, failed, 61, 0
59, Astar, passed, 217, 28
59, Greedy, passed, 28, 28
59, BFS, passed, 287, 28
59, DFS, passed, 28, 28
59, BI-DIR, passed, 7, 0
59, MBAstar, failed, 61, 0
58, Astar, passed, 217, 28
58, Greedy, passed, 28, 28
58, BFS, passed, 287, 28
58, DFS, passed, 28, 28
58, BI-DIR, passed, 7, 0
58, MBAstar, failed, 61, 0
57, Astar, passed, 217, 28
57, Greedy, passed, 28, 28
57, BFS, passed, 287, 28
57, DFS, passed, 28, 28
57, BI-DIR, passed, 7, 0
57, MBAstar, failed, 61, 0
56, Astar, passed, 217, 28
56, Greedy, passed, 28, 28
56, BFS, passed, 287, 28
56, DFS, passed, 28, 28
56, BI-DIR, passed, 7, 0
56, MBAstar, failed, 61, 0
55, Astar, passed, 217, 28
55, Greedy, passed, 28, 28
55, BFS, passed, 287, 28
55, DFS, passed, 28, 28
55, BI-DIR, passed, 7, 0
55, MBAstar, failed, 61, 0
54, Astar, passed, 217, 28
54, Greedy, passed, 28, 28
54, BFS, passed, 287, 28
54, DFS, passed, 28, 28
54, BI-DIR, passed, 7, 0
54, MBAstar, failed, 61, 0
53, Astar, passed, 217, 28
53, Greedy, passed, 28, 28
53, BFS, passed, 287, 28
53, DFS, passed, 28, 28
53, BI-DIR, passed, 7, 0
53, MBAstar, failed, 61, 0
52, Astar, passed, 217, 28
52, Greedy, passed, 28, 28
52, BFS, passed, 287, 28
52, DFS, passed, 28, 28
52, BI-DIR, passed, 7, 0
52, MBAstar, failed, 61, 0
51, Astar, passed, 217, 28
51, Greedy, passed, 28, 28
51, BFS, passed, 287, 28
51, DFS, passed, 28, 28
51, BI-DIR, passed, 7, 0
51, MBAstar, failed, 61, 0
50, Astar, passed, 217, 28
50, Greedy, passed, 28, 28
50, BFS, passed, 287, 28
50, DFS, passed, 28, 28
50, BI-DIR, passed, 7, 0
50, MBAstar, failed, 61, 0
49, Astar, passed, 217, 28
49, Greedy, passed, 28, 28
49, BFS, passed, 287, 28
49, DFS, passed, 28, 28
49, BI-DIR, passed, 7, 0
49, MBAstar, failed, 61, 0
48, Astar, passed, 217, 28
48, Greedy, passed, 28, 28
48, BFS, passed, 287, 28
48, DFS, passed, 28, 28
48, BI-DIR, passed, 7, 0
48, MBAstar, failed, 61, 0
47, Astar, passed, 217, 28
47, Greedy, passed, 28, 28
47, BFS, passed, 287, 28
47, DFS, passed, 28, 28
47, BI-DIR, passed, 7, 0
47, MBAstar, failed, 61, 0
46, Astar, passed, 217, 28
46, Greedy, passed, 28, 28
46, BFS, passed, 287, 28
46, DFS, passed, 28, 28
46, BI-DIR, passed, 7, 0
46, MBAstar, failed, 61, 0
45, Astar, passed, 217, 28
45, Greedy, passed, 28, 28
45, BFS, passed, 287, 28
45, DFS, passed, 28, 28
45, BI-DIR, passed, 7, 0
45, MBAstar, failed, 61, 0
44, Astar, passed, 217, 28
44, Greedy, passed, 28, 28
44, BFS, passed, 287, 28
44, DFS, passed, 28, 28
44, BI-DIR, passed, 7, 0
44, MBAstar, failed, 61, 0
43, Astar, passed, 217, 28
43, Greedy, passed, 28, 28
43, BFS, passed, 287, 28
43, DFS, passed, 28, 28
43, BI-DIR, passed, 7, 0
43, MBAstar, failed, 61, 0
42, Astar, passed, 217, 28
42, Greedy, passed, 28, 28
42, BFS, passed, 287, 28
42, DFS, passed, 28, 28
42, BI-DIR, passed, 7, 0
42, MBAstar, failed, 61, 0
41, Astar, passed, 43, 8
41, Greedy, passed, 8, 8
41, BFS, passed, 51, 8
41, DFS, passed, 32, 32
41, BI-DIR, passed, 5, 0
41, MBAstar, passed, 30, 0
40, Astar, passed, 43, 8
40, Greedy, passed, 8, 8
40, BFS, passed, 51, 8
40, DFS, passed, 32, 32
40, BI-DIR, passed, 5, 0
40, MBAstar, passed, 30, 0
39, Astar, passed, 43, 8
39, Greedy, passed, 8, 8
39, BFS, passed, 51, 8
39, DFS, passed, 32, 32
39, BI-DIR, passed, 5, 0
39, MBAstar, passed, 30, 0
38, Astar, passed, 43, 8
38, Greedy, passed, 8, 8
38, BFS, passed, 51, 8
38, DFS, passed, 32, 32
38, BI-DIR, passed, 5, 0
38, MBAstar, passed, 30, 0
37, Astar, passed, 43, 8
37, Greedy, passed, 8, 8
37, BFS, passed, 51, 8
37, DFS, passed, 32, 32
37, BI-DIR, passed, 5, 0
37, MBAstar, passed, 30, 0
36, Astar, passed, 43, 8
36, Greedy, passed, 8, 8
36, BFS, passed, 51, 8
36, DFS, passed, 32, 32
36, BI-DIR, passed, 5, 0
36, MBAstar, passed, 30, 0
35, Astar, passed, 43, 8
35, Greedy, passed, 8, 8
35, BFS, passed, 51, 8
35, DFS, passed, 32, 32
35, BI-DIR, passed, 5, 0
35, MBAstar, passed, 30, 0
34, Astar, passed, 43, 8
34, Greedy, passed, 8, 8
34, BFS, passed, 51, 8
34, DFS, passed, 32, 32
34, BI-DIR, passed, 5, 0
34, MBAstar, passed, 30, 0
33, Astar, passed, 43, 8
33, Greedy, passed, 8, 8
